method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,assigned
scmap_cluster...1,0.6037530963487642,0.7171428471932564,0.6974443177786112,0.2687350835322196,8,0.3107398568019093,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
scmap_cell...2,0.9551364463765519,0.9113611949872167,0.9663587324024739,0.051073985680190934,8,0.41145584725536993,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
chetah...3,0.7587311225643552,0.7816869115483728,0.8196180651587921,0.11551312649164677,8,0.32124105011933174,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
singlecellnet...4,0.9688528827172402,0.9465136831047593,0.9766939952020208,0.0019093078758949881,8,0.42577565632458236,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
garnett...5,0.40864800693526104,0.5644155503834822,0.5401554615899326,0.3260143198090692,8,0.3260143198090692,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
singleR...6,0.9750304132480172,0.9639509693908662,0.9812671226667334,0,7,0.41909307875894986,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
cellassign...7,0.9622573954834175,0.9394361166246012,0.9716653076270724,0,7,0.41479713603818613,TRUE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
seurat...8,0.5378792026070837,0.6937491352984083,0.6595548433253733,NA,11,0.16515513126491646,FALSE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
tscan...9,0.2529382596332576,0.37085082090968446,0.40624270013782304,NA,8,0.24009546539379475,FALSE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
sc3...10,0.6148977078439684,0.761534808093224,0.7155681953107099,NA,8,0.16181384248210023,FALSE,ADASD_autism,0.9492935965863613,1.6183413687536186,0.05525011045113151,0.15659515978597024,7,0.42386634844868737,0.9439589176855254,2095,40742,NA
