method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,assigned
scmap_cluster...1,0.645498958910314,0.6765741482606509,0.7615985200705073,0.3502121640735502,6,0.4297029702970297,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
scmap_cell...2,0.9355336200019753,0.8850851756909832,0.9568212877625188,0.058274398868458276,7,0.47326732673267324,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
chetah...3,0.9112281411360453,0.8567039331529208,0.9405327012165446,0.05233380480905234,9,0.4625176803394625,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
singlecellnet...4,0.9767750937700121,0.9438355079711788,0.9845858746450294,0.0011315417256011315,8,0.4995756718528996,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
garnett...5,0.30981493187343284,0.35562158485656825,0.4892629624243044,0.2096181046676096,9,0.2115983026874116,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
singleR...6,0.9833804118507445,0.9713267475509275,0.9888929572059904,0,8,0.4908062234794908,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
cellassign...7,0.9801871248785273,0.9638152224421637,0.9867789045888561,0,8,0.49533239038189536,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
seurat...8,0.3510892481120392,0.5373589775694333,0.5364591193222675,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
tscan...9,0.2991710954031316,0.43040005335144776,0.4840717297256347,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
sc3...10,0.6555279227803663,0.7449482816011322,0.7656748283479016,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
liger...11,0.6427781015820019,0.7177105397479269,0.7839623565528736,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,NA
scmap_cluster...12,1,1,1,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
scmap_cell...13,1,1,1,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
chetah...14,1,1,1,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
singlecellnet...15,0.9981042775128095,0.9953666147262837,0.9990718563366426,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
garnett...16,0.3261415457628319,0.38634493109987805,0.5777092536177303,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
singleR...17,0.994321283230662,0.9880216127906649,0.9972136169199379,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
cellassign...18,0.9943207730350204,0.9851692654236992,0.9972180581850679,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
seurat...19,0.21746324440321774,0.4378005325792753,0.4700136176315337,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
tscan...20,0.20702748091724046,0.33040064292298055,0.5207256154274602,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
sc3...21,0.5229665163696249,0.6731131638893568,0.726631759311807,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
liger...22,0.6135768210047152,0.6330815337841778,0.8500162770322289,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,TRUE
scmap_cluster...23,0.3200697001767785,0.4085124770116442,0.596794962434776,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
scmap_cell...24,0.8831817241269437,0.8312761165116789,0.9167229531324751,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
chetah...25,0.858052404611989,0.7999317323862427,0.8989712954719686,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
singlecellnet...26,0.9635863877815397,0.9117924764835871,0.9744019928069242,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
garnett...27,0.35140041978919145,0.39578706680396264,0.5363377835308086,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
singleR...28,0.9785056805672125,0.9602680404698931,0.9847671337992442,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
cellassign...29,0.9730302384668951,0.9500461825224984,0.9809161299578786,NA,NA,NA,TRUE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
seurat...30,0.5326684351703209,0.608952621064646,0.6667407437127,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
tscan...31,0.3989669686378896,0.47342386233265266,0.5470230181790422,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
sc3...32,0.8369636832804225,0.8018947588856931,0.8840990601625531,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
liger...33,0.5762971285286804,0.7292607756986144,0.6993283477741652,NA,NA,NA,FALSE,ADASD_AD,0.539057892933431,1.3572155246905484,0.0813479886179769,0.17798359649612233,8,0.4947666195190948,0.9062563010192667,3535,17923,FALSE
