method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
scmap_cluster...1,0.25805845906586283,0.48377519772862765,0.4719233010075248,0.5190075119508308,7,0.5190075119508308,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
scmap_cell...2,0.46330701660629725,0.5735852993729862,0.5970493544715103,0.338037787389028,8,0.338037787389028,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
chetah...3,0.3858524904265219,0.4528509161528609,0.52171412751918,0.19462781698156156,9,0.24129296608240383,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
singlecellnet...4,0.8537007639095119,0.7895716048808995,0.8924653582680322,2.2763487366264513e-4,8,0.42704302299112223,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
garnett...5,0.2681134253872912,0.37735987807753796,0.4283193836140268,0.3127703164124744,9,0.3127703164124744,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
singleR...6,0.7990611051147073,0.7561276572457639,0.8514315302278729,0,8,0.4183928977919417,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
cellassign...7,0.74810741253273,0.7147892397479758,0.8242886791130517,0,8,0.429091736854086,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,NA
scmap_cluster...8,0.9759404572931616,0.9353059248635075,0.9831260053625018,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,TRUE
scmap_cell...9,0.976274380599649,0.9351627696073435,0.9833664706505627,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,TRUE
chetah...10,0.7394308017528308,0.7374150758707634,0.8142304085528566,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,TRUE
singlecellnet...11,0.9754530222690869,0.932174062917962,0.9827931404089101,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9414325879769584,1.5530447878456826,0.04758663717316091,0.011003346378537802,8,0.41201912132938767,0.9770099622889928,4393,17631,0.3,TRUE
